100115=Numeració senar: 1 - 33=Numeración impar: 1 - 33
100385=Numeració parell: 2 - 56=Numeración par: 2 - 56
100281=Numeració senar: 35 - 81=Numeración impar: 35 - 81
100457=Numeració parell: 58 - 94=Numeración par: 58 - 94
100487=Numeració senar: 83 - 399=Numeración impar: 83 - 399
100530=Numeració parell: 96 - 192=Numeración par: 96 - 192
100554=Numeració parell: 194 - 208=Numeración par: 194 - 208
100564=Numeració parell: 210 - 390=Numeración par: 210 - 390
100582=Numeració parell: 392 - 9998=Numeración par: 392 - 9998
100563=Numeració senar: 401 - 9999=Numeración impar: 401 - 9999
