123142=Numeració senar: 1 - 51=Numeración impar: 1 - 51
123141=Numeració parell: 8 - 38=Numeración par: 8 - 38
123162=Numeració parell: 40 - 70=Numeración par: 40 - 70
123161=Numeració senar: 53 - 73=Numeración impar: 53 - 73
123185=Numeració parell: 92 - 104=Numeración par: 92 - 104
123184=Numeració senar: 97 - 105=Numeración impar: 97 - 105
123205=Numeració parell: 106 - 148=Numeración par: 106 - 148
123204=Numeració senar: 109 - 141=Numeración impar: 109 - 141
123238=Numeració senar: 143 - 173=Numeración impar: 143 - 173
123237=Numeració parell: 150 - 200=Numeración par: 150 - 200
